district_n,dsd_n,gnd_n,province_n,popAffected,tot_pop
Hambantota,Hambantota,Badagiriya,Southern,186,1207
Hambantota,Lunugamvehera,Padavigama,Southern,384,1568
Hambantota,Lunugamvehera,Muwanwewa,Southern,90,513
Hambantota,Lunugamvehera,Mihindupura,Southern,158,1016
Hambantota,Lunugamvehera,Saliyapura,Southern,59,648
Hambantota,Lunugamvehera,Singhapura,Southern,123,715
Hambantota,Lunugamvehera,Senapura,Southern,70,677
Hambantota,Lunugamvehera,Seenimunna,Southern,110,1130
Hambantota,Lunugamvehera,Saddhathissapura New,Southern,38,252
Hambantota,Lunugamvehera,Saddhathissapura,Southern,110,875
Hambantota,Lunugamvehera,Ransiripura,Southern,166,1032
Hambantota,Lunugamvehera,Kendagasmankada,Southern,180,1857
Hambantota,Lunugamvehera,Beralihela,Southern,125,788
Hambantota,Lunugamvehera,Dutugemunupura(Paddy,Southern,151,930
Hambantota,Lunugamvehera,Agbopura,Southern,193,1151
Hambantota,Lunugamvehera,Abhayapura,Southern,47,624
Hambantota,Lunugamvehera,Mahanagapura,Southern,131,1076
Hambantota,Lunugamvehera,Lunugamvehera New To,Southern,322,2226
Hambantota,Lunugamvehera,Punchiappujandura,Southern,199,918
Hambantota,Lunugamvehera,Karambawewa,Southern,216,931
Hambantota,Lunugamvehera,Jayagama(Paddy),Southern,99,944
Hambantota,Lunugamvehera,Ittanwekada,Southern,74,743
Hambantota,Lunugamvehera,Weeravila,Southern,147,1072
Hambantota,Lunugamvehera,Weeravil Ara,Southern,49,303
Hambantota,Lunugamvehera,Samanpura,Southern,27,462
Hambantota,Lunugamvehera,Rambukwewa,Southern,471,1420
Hambantota,Lunugamvehera,Parakramapura,Southern,27,437
Hambantota,Tissamaharama,Gemunupura,Southern,144,1297
Hambantota,Tissamaharama,Gangasiripura,Southern,130,1946
Hambantota,Tissamaharama,Ellagala,Southern,106,1928
Hambantota,Tissamaharama,Ekamuthugama,Southern,96,1329
Hambantota,Tissamaharama,Debarawewa,Southern,114,1351
Hambantota,Tissamaharama,Anjaligala,Southern,82,1076
Hambantota,Tissamaharama,Andaragasyaya,Southern,632,2275
Hambantota,Tissamaharama,Yodhakandiya,Southern,224,1626
Hambantota,Tissamaharama,Wijayapura,Southern,351,1362
Hambantota,Tissamaharama,Welipothewala,Southern,118,1053
Hambantota,Tissamaharama,Dambewelena,Southern,151,1061
Hambantota,Tissamaharama,Sandagiripura,Southern,77,1734
Hambantota,Tissamaharama,Saliyapura,Southern,195,1006
Hambantota,Tissamaharama,Rubberwatta,Southern,89,1413
Hambantota,Tissamaharama,Rohanapura,Southern,150,1075
Hambantota,Tissamaharama,Rath Nelumyaya,Southern,131,1392
Hambantota,Tissamaharama,Senapura,Southern,129,1711
Hambantota,Tissamaharama,Randunu Watta,Southern,203,1038
Hambantota,Tissamaharama,Shuddha Nagaraya,Southern,177,853
Hambantota,Tissamaharama,Rana Keliya,Southern,280,1009
Hambantota,Tissamaharama,Weerahela,Southern,116,2542
Hambantota,Tissamaharama,Vijithapura,Southern,109,1849
Hambantota,Tissamaharama,Viharamahadevipura,Southern,259,2157
Hambantota,Tissamaharama,Uduvila,Southern,410,1259
Hambantota,Tissamaharama,Tissamaharama,Southern,274,1344
Hambantota,Tissamaharama,Sandungama,Southern,129,1174
Hambantota,Tissamaharama,Konwelena,Southern,229,1363
Hambantota,Tissamaharama,Kachcheriyagama,Southern,131,908
Hambantota,Tissamaharama,Joolpallama,Southern,241,2765
Hambantota,Tissamaharama,Halmillawa,Southern,107,652
Hambantota,Tissamaharama,Gotabhayapura,Southern,94,1997
Hambantota,Tissamaharama,Gonagamuwa,Southern,202,1025
Hambantota,Tissamaharama,Polgahawelena,Southern,253,998
Hambantota,Tissamaharama,Pannagamuwa,Southern,161,1749
Hambantota,Tissamaharama,Nedigamvila,Southern,249,1208
Hambantota,Tissamaharama,Molakepoopathana,Southern,163,1167
Hambantota,Tissamaharama,Medawelena,Southern,94,1550
Hambantota,Tissamaharama,Mahindapura,Southern,139,1546
Hambantota,Tissamaharama,Mahasenpura,Southern,167,2343
Hambantota,Tissamaharama,Magama,Southern,382,1023
